cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
76605.0,GV_008386,8386,PATK,USA,PATRICK INDUSTRIES INC,Industrials,Capital Goods,Building Products,Building Products,2430,321211,Hardwood Veneer and Plywood Manufacturing,Manufacturing,Wood Product Manufacturing,"Patrick Industries, Inc. manufactures and distributes building products and materials for the recreational vehicle, marine, manufactured housing, and industrial markets in the United States and Canada.",8,0.045471298366019555,-0.059792160724356565,0.017390999016529768,0.0071412484967839345,-0.11878267789894369
77281.0,GV_008457,8457,PEI,USA,PENNSYLVANIA RE INVS TRUST,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Retail REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,PREIT (NYSE:PEI) is a publicly traded real estate investment trust that owns and manages quality properties in compelling markets.,8,-0.3015756277107722,-0.3154492015756043,-0.16387991695958629,0.008582149114720468,-0.3082025985060254
85535.0,GV_009273,9273,RGLD,USA,ROYAL GOLD INC,Materials,Materials,Metals & Mining,Gold,6795,523910,Miscellaneous Intermediation,Finance and Insurance,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","Royal Gold, Inc., together with its subsidiaries, acquires and manages precious metal streams, royalties, and related interests.",8,0.22215594118662985,0.11945842177897387,0.10813849539459573,0.19287060270727327,-0.10536426565612513
89089.0,GV_009611,9611,SCI,USA,SERVICE CORP INTERNATIONAL,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,7200,812210,Funeral Homes and Funeral Services,Other Services (except Public Administration),Personal and Laundry Services,Service Corporation International provides deathcare products and services in the United States and Canada.,8,-0.10964909388874966,0.014092430600934985,0.07062511142106105,0.013145444983563289,-0.010612554519756434
91388.0,GV_009774,9774,SFD,USA,SMITHFIELD FOODS INC,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,2013,311612,Meat Processed from Carcasses,Manufacturing,Food Manufacturing,"Smithfield Foods, Inc., together with its subsidiaries, produces and markets various fresh meat and packaged meats products in the United States and internationally.",8,-0.16187191406896723,0.00770293289410969,0.17528863342323714,0.06878022617492771,-0.024050555326851783
93456.0,GV_010005,10005,SRCTQ,USA,STANDARD REGISTER CO,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Commercial Printing,2761,323111,Commercial Printing (except Screen and Books),Manufacturing,Printing and Related Support Activities,"On Deember 18, 2015, SRC Liquidation Company went out of business as per its Chapter 11 liquidation filing under bankruptcy.",8,0.006371074110717108,0.10359024907778887,0.039327101790867326,0.1145733597570692,-0.06224303249930631
96289.0,GV_010332,10332,RSHCQ,USA,RS LEGACY CORP,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail,5731,443142,Electronics Stores,Retail Trade,Electronics and Appliance Stores,"On October 7, 2015, RS Legacy Corporation went out of business as per its Chapter 11 liquidation filing under bankruptcy.",8,-0.09152397501581186,0.06299710193036723,0.06048640123017571,-0.03367545558298161,-0.1076780420770792
96763.0,GV_010374,10374,PULS.1,USA,PULSE ELECTRONICS CORP,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,3679,334419,Other Electronic Component Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Pulse Electronics Corporation produces and sells precision-engineered electronic components and modules.,8,-0.362518195905085,0.05657719369138727,-0.09346783604182828,-0.012729141907488122,-0.07202700567420378
104918.0,GV_011304,11304,AVA,USA,AVISTA CORP,Utilities,Utilities,Multi-Utilities,Multi-Utilities,4931,2211,"Electric Power Generation, Transmission and Distribution",Utilities,Utilities,Avista Corporation operates as an electric and natural gas utility company.,8,0.007351281481592254,0.010675470902844765,0.2764358148947223,0.16106811513481079,-0.03361030302845642
105076.0,GV_011315,11315,WPP.2,USA,WAUSAU PAPER CORP,Materials,Materials,Paper & Forest Products,Paper Products,2621,322121,Paper (except Newsprint) Mills,Manufacturing,Paper Manufacturing,"Wausau Paper Corp. manufactures, converts, and sells towel and tissue products primarily in the United States and Canada.",8,-0.2717440374520195,-0.05912776919776689,0.09114041742073427,-0.12017185595983855,-0.011066698596598543
