cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
799167.0,GV_012625,12625,MRTN,USA,MARTEN TRANSPORT LTD,Industrials,Transportation,Road & Rail,Trucking,4213,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Transportation and Warehousing,Truck Transportation,"Marten Transport, Ltd. operates as a temperature-sensitive truckload carrier for shippers in the United States, Canada, and Mexico. It operates through four segments: Truckload, Dedicated, Intermodal, and Brokerage.",9,0.07687147375372252,0.2979464843072568,-0.10139092140829456,-0.08330224716155737,0.002245617183654681
799233.0,GV_012840,12840,HTLD,USA,HEARTLAND EXPRESS INC,Industrials,Transportation,Road & Rail,Trucking,4213,484121,"General Freight Trucking, Long-Distance, Truckload",Transportation and Warehousing,Truck Transportation,"Heartland Express, Inc., together with its subsidiaries, operates as a short-to-medium haul truckload carrier in the United States and Canada.",9,0.17161493903952793,0.35008541085089895,-0.06261262846094992,0.027359696157387113,-0.1924125813421536
799850.0,GV_013602,13602,CRMT,USA,AMERICA'S CAR-MART INC,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,5500,441120,Used Car Dealers,Retail Trade,Motor Vehicle and Parts Dealers,"America's Car-Mart, Inc., through its subsidiaries, operates as an automotive retailer in the United States.",9,0.14779860896484778,0.0944224329456097,0.3940388292057335,-0.26478323278164645,-0.08622967290314049
801351.0,GV_013990,13990,WRC,USA,WARNACO GROUP INC,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",2300,315,Apparel Manufacturing,Manufacturing,Apparel Manufacturing,"The Warnaco Group, Inc., together with its subsidiaries, designs, sources, markets, licenses, and distributes a line of intimate apparel, sportswear, and swimwear products.",9,-0.09612136693127452,-0.20967437078948017,0.17832454520662314,-0.21899438539745267,-0.026075278919859963
804328.0,GV_024800,24800,QCOM,USA,QUALCOMM INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"QUALCOMM Incorporated designs, develops, manufactures, and markets digital communication products worldwide.",9,-0.008714869580608665,0.08881139464995291,0.11898557105994818,-0.1806101338418119,-0.12672740874509933
812191.0,GV_024219,24219,RHB,USA,REHABCARE GROUP INC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services,8060,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,Health Care and Social Assistance,Hospitals,"RehabCare Group, Inc. provides physical, occupational, and speech-language rehabilitation services in the United States.",9,-0.19930256657412024,0.3022506193469157,0.06959472574845764,0.020966666015010443,0.038135193494703484
814547.0,GV_013824,13824,FICO,USA,FAIR ISAAC CORP,Information Technology,Software & Services,Software,Application Software,7373,541512,Computer Systems Design Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","Fair Isaac Corporation develops analytic, software, and data management products and services that enable businesses to automate, enhance, and connect decisions.",9,0.24421101283723812,-0.050912682657170145,0.1182552105834419,0.1750263735701432,-0.2324292203894
815094.0,GV_013619,13619,ABMD,USA,ABIOMED INC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3841,339112,Surgical and Medical Instrument Manufacturing,Manufacturing,Miscellaneous Manufacturing,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart.",9,0.06407375257319604,0.03263131476452919,-0.030747834128288954,0.0418993244899637,0.44928031078410985
820736.0,GV_021496,21496,ORB,USA,ORBITAL SCIENCES CORP,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3760,336414,Guided Missile and Space Vehicle Manufacturing,Manufacturing,Transportation Equipment Manufacturing,"Orbital Sciences Corporation develops and manufactures small- and medium-class rockets and space systems for commercial, military, and civil government customers in the United States, Europe, Eurasia, Mexico, South America, and East Asia.",9,0.17853261021455694,-0.06472290799561745,0.060221041566236935,-0.08352505697459527,0.3270261688614893
823768.0,GV_014477,14477,WM,USA,WASTE MANAGEMENT INC,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services,4953,562111,Solid Waste Collection,Administrative and Support and Waste Management and Remediation Services,Waste Management and Remediation Services,"Waste Management, Inc., through its subsidiaries, provides waste management environmental services to residential, commercial, industrial, and municipal customers in North America.",9,-0.049802721189940856,-0.013607637973110499,0.22869496260803016,0.06619928773500772,0.26944115167398114
