cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1674862,GV_001794,1794,ASH,USA,ASHLAND GLOBAL HOLDINGS INC,Materials,Materials,Chemicals,Specialty Chemicals,2820,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",Manufacturing,Chemical Manufacturing,Ashland Global Holdings Inc. provides specialty chemical solutions worldwide.,2,-0.6639293659923163,0.1777597082203834
1677576,GV_028670,28670,IIPR,USA,INNOVATIVE INDUSTRIAL PPTYS,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Industrial REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"Innovative Industrial Properties, Inc. is a self-advised Maryland corporation focused on the acquisition, ownership and management of specialized industrial properties leased to experienced, state-licensed operators for their regulated medical-use cannabis facilities.",2,-0.5699830099970838,0.25903593046008705
1680247,GV_030145,30145,PUMP,USA,PROPETRO HOLDING CORP,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,1389,213112,Support Activities for Oil and Gas Operations,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,"ProPetro Holding Corp., an oilfield services company, provides pressure pumping and other related services.",2,-0.5064342288785442,0.37264665274589015
1681459,GV_030923,30923,FTI,GBR,TECHNIPFMC PLC,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,1389,237120,Oil and Gas Pipeline and Related Structures Construction,Construction,Heavy and Civil Engineering Construction,"TechnipFMC plc engages in the oil and gas projects, technologies, and systems and services businesses.",2,-0.5227528660303452,0.38360368267301503
1681622,GV_029004,29004,VREX,USA,VAREX IMAGING CORP,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3844,334517,Irradiation Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Varex Imaging Corporation designs and manufactures X-ray imaging components.,2,-0.6127823467882293,0.2722570486524936
1685715,GV_029565,29565,JAG,USA,JAGGED PEAK ENERGY INC,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,1311,211120,Crude Petroleum Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,Jagged Peak Energy Inc. operates as an independent oil and natural gas company.,2,-0.6167929968552467,0.28668672758510727
1688568,GV_003336,3336,DXC,USA,DXC TECHNOLOGY CO,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,7370,541512,Computer Systems Design Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","DXC Technology Company, together with its subsidiaries, provides information technology services and solutions primarily in North America, Europe, Asia, and Australia.",2,-0.524195335365148,0.37941950702120913
1692115,GV_009890,9890,SWX,USA,SOUTHWEST GAS HOLDINGS INC,Utilities,Utilities,Gas Utilities,Gas Utilities,4923,221210,Natural Gas Distribution,Utilities,Utilities,"Southwest Gas Holdings, Inc., through its subsidiaries, purchases, distributes, and transports natural gas in Arizona, Nevada, and California.",2,-0.5964191801593158,0.26702003888779147
1703644,GV_031994,31994,GPMT,USA,GRANITE POINT MORTGE TRS INC,Financials,Diversified Financials,"Mortgage Real Estate Investment 
Trusts (REITs)",Mortgage REITs,6798,525990,Other Financial Vehicles,Finance and Insurance,"Funds, Trusts, and Other Financial Vehicles","Granite Point Mortgage Trust Inc. originates, invests in, and manages senior floating-rate commercial mortgage loans, and other debt and debt-like commercial real estate investments in the United States.",2,-0.5241990838130937,0.37965524514014387
1707925,GV_025124,25124,LIN,IRL,LINDE PLC,Materials,Materials,Chemicals,Industrial Gases,2810,325120,Industrial Gas Manufacturing,Manufacturing,Chemical Manufacturing,"Linde plc operates as an industrial gas company in primarily North and South America, Europe, the Middle East, Africa, and the Asia Pacific.",2,-0.42871552478358543,0.3812323048831867
