cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
1514242,GV_186681,186681,PSG.,CAN,OLD PSG WIND-DOWN LTD,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,9995,999990,Unclassified Establishments,Unclassified Establishments,Unclassified Establishments,Old PSG Wind-down Ltd. does not have significant operations.,8,-0.2450882962172013,0.2072397476009184,0.22224554489760692,0.3580971315941416,0.281079422408868
1517650,GV_124038,124038,ININ,USA,INTERACTIVE INTELLIGENCE GRP,Information Technology,Software & Services,Software,Application Software,7372,511210,Software Publishers,Information,Publishing Industries (except Internet),"Interactive Intelligence Group, Inc. provides software and cloud services for customer engagement, communications, and collaboration worldwide.",8,-0.0193014054570152,0.17765751404398247,0.39428528603422736,0.1254410656849014,-0.17687383983326235
1521036,GV_021004,21004,LNTH,USA,LANTHEUS HOLDINGS INC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies,2835,325413,In-Vitro Diagnostic Substance Manufacturing,Manufacturing,Chemical Manufacturing,"Lantheus Holdings, Inc. develops, manufactures, and commercializes diagnostic medical imaging agents and products that assist clinicians in the diagnosis and treatment of cardiovascular and other diseases worldwide.",8,-0.3810045075046302,0.3905625794398511,-0.05238800180749754,-0.18444508062482665,0.011066446699179293
1525769,GV_060923,60923,PLAY,USA,DAVE & BUSTER'S ENTMT INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,5810,722,Food Services and Drinking Places,Accommodation and Food Services,Food Services and Drinking Places,"Dave & Buster's Entertainment, Inc. owns and operates entertainment and dining venues for adults and families.",8,-0.35976962250557,0.1651284540298876,0.09980514826800845,0.3215823702838813,0.32309190599191445
1528849,GV_111873,111873,RH,USA,RH,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail,5712,442110,Furniture Stores,Retail Trade,Furniture and Home Furnishings Stores,"RH, together with its subsidiaries, operates as a retailer in the home furnishings.",8,-0.35684840869381135,-0.014789292630086333,0.17130868535911112,0.24228984523406616,-0.07964532209990552
1531152,GV_033718,33718,BJ,USA,BJS WHSL CLUB HLDGS INC,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers,5399,452311,Warehouse Clubs and Supercenters,Retail Trade,General Merchandise Stores,"BJ's Wholesale Club Holdings, Inc. operates as a warehouse club on the East Coast of the United States.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
1552800,GV_013861,13861,TTSH,USA,TILE SHOP HOLDINGS INC,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,5700,4422,Home Furnishings Stores,Retail Trade,Furniture and Home Furnishings Stores,"Tile Shop Holdings, Inc. operates as a specialty retailer of natural stone and man-made tiles, setting and maintenance materials, and related accessories in the United States.",8,-0.3504336762466093,-0.07053085137851788,0.18307372358509605,0.5278919347250183,0.2950648916199061
1571996,GV_014489,14489,DELL,USA,DELL TECHNOLOGIES INC,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",3571,334111,Electronic Computer Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Dell Technologies Inc. designs, develops, manufactures, markets, sells, and supports information technology (IT) products and services worldwide.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
1585364,GV_024782,24782,PRGO,IRL,PERRIGO CO PLC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Perrigo Company plc manufactures and supplies over-the-counter health and wellness solutions in the United States, Europe, and internationally.",8,-0.1517450087998101,0.16535569389677762,0.31316742449138285,0.3668009010626761,0.08915453568552388
1594590,GV_020967,20967,PGNPQ,GBR,PARAGON OFFSHORE PLC,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling,1381,213111,Drilling Oil and Gas Wells,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,"Paragon Offshore plc, together with its subsidiaries, provides offshore drilling rigs.",8,-0.2450882962172013,0.2072397476009184,0.22224554489760692,0.3580971315941416,0.281079422408868
