cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
1490892.0,GV_185177,185177,COR,USA,CORESITE REALTY CORP,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Specialized REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"CoreSite Realty Corporation (NYSE:COR) delivers secure, reliable, high-performance data center and interconnection solutions to a growing customer ecosystem across eight key North American markets.",2,0.5729261717132936,-0.21681848766067058
1496048.0,GV_028119,28119,BPYU,USA,BROOKFIELD PROPERTY REIT,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Retail REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"Brookfield Property REIT Inc. (“BPR”) is a subsidiary of Brookfield Property Partners L.P., (NASDAQ: BPY; TSX: BPY.",2,0.265409694668785,-0.15611015123606667
1499686.0,GV_180659,180659,AVIV,USA,AVIV REIT INC,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Health Care REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"As of April 1, 2015, Aviv REIT, Inc was acquired by Omega Healthcare Investors Inc. Aviv REIT, Inc is a privately owned real estate investment trust. It invests in the real estate markets of United States.",2,0.6321585155386106,0.08866194557197214
1501585.0,GV_186310,186310,HII,USA,HUNTINGTON INGALLS IND INC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3730,336611,Ship Building and Repairing,Manufacturing,Transportation Equipment Manufacturing,"Huntington Ingalls Industries, Inc. operates as a military shipbuilding company in the United States.",2,-0.1030697533901541,-0.14517730761542297
1503812.0,GV_064072,64072,PBH.,CAN,PREMIUM BRANDS HLDGS CORP,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,2011,311611,Animal (except Poultry) Slaughtering,Manufacturing,Food Manufacturing,"Premium Brands Holdings Corporation, through its subsidiaries, manufactures and distributes food products primarily in Canada and the United States.",2,0.20742933660797946,0.04602814111336884
1508844.0,GV_186130,186130,PVG.,CAN,PRETIUM RESOURCES INC,Materials,Materials,Metals & Mining,Gold,1040,212221,Gold Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),"Pretium Resources Inc. acquires, explores for, and develops precious metal resource properties in the Americas.",2,0.6405565630679215,0.41043339173305904
1519061.0,GV_187551,187551,TSE,LUX,TRINSEO SA,Materials,Materials,Chemicals,Commodity Chemicals,2821,325211,Plastics Material and Resin Manufacturing,Manufacturing,Chemical Manufacturing,"Trinseo S.A., a materials company, manufactures and markets synthetic rubber, latex binders, and plastic products in the United States, Europe, the Asia-Pacific, and internationally.",2,-0.2734512725512136,0.16535002867419693
1525769.0,GV_060923,60923,PLAY,USA,DAVE & BUSTER'S ENTMT INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,5810,722,Food Services and Drinking Places,Accommodation and Food Services,Food Services and Drinking Places,"Dave & Buster's Entertainment, Inc. owns and operates entertainment and dining venues for adults and families.",2,0.19525424509540162,-0.15118663807121355
1530950.0,GV_170527,170527,POST,USA,POST HOLDINGS INC,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,2015,311999,All Other Miscellaneous Food Manufacturing,Manufacturing,Food Manufacturing,"Post Holdings, Inc. operates as a consumer packaged goods holding company in the United States and internationally.",2,0.14365533948996237,0.13134579897025467
1533232.0,GV_136684,136684,BEP.UN,BMU,BROOKFIELD RENEWABLE PRTS LP,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Renewable Electricity,4991,22111,Electric Power Generation,Utilities,Utilities,"Brookfield Renewable Partners L.P. owns a portfolio of renewable power generating facilities primarily in North America, Colombia, Brazil, Europe, India, and China.",2,0.5062382787427601,-0.3316783139855355
1534504.0,GV_196159,196159,PBF,USA,PBF ENERGY INC,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,2911,324110,Petroleum Refineries,Manufacturing,Petroleum and Coal Products Manufacturing,"PBF Energy Inc., together with its subsidiaries, engages in refining and supplying petroleum products.",2,-0.18517112969446167,-0.16539610110275804
1545772.0,GV_017556,17556,BPY.UN,BMU,BROOKFIELD PROPERTY PRTRS LP,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies,6512,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"Brookfield Property Partners, through Brookfield Property Partners L.P. and its subsidiary Brookfield Property REIT Inc., is one of the world’s premier commercial real estate companies, with approximately $85 billion in total assets.",2,0.2117897601897685,-0.15703497315984477
1549802.0,GV_019744,19744,JD,CYM,JD.COM INC  -ADR,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,5961,454110,Electronic Shopping and Mail-Order Houses,Retail Trade,Nonstore Retailers,"JD.com, Inc., through its subsidiaries, operates as an e-commerce company and retail infrastructure service provider in the People’s Republic of China.",2,-0.0341358030371122,-0.011807463622614296
1552800.0,GV_013861,13861,TTSH,USA,TILE SHOP HOLDINGS INC,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,5700,4422,Home Furnishings Stores,Retail Trade,Furniture and Home Furnishings Stores,"Tile Shop Holdings, Inc. operates as a specialty retailer of natural stone and man-made tiles, setting and maintenance materials, and related accessories in the United States.",2,0.03783581532459904,0.18928213627682075
1561540.0,GV_027519,27519,TXG.,CAN,TOREX GOLD RESOURCES INC,Materials,Materials,Metals & Mining,Gold,1040,212221,Gold Ore Mining,"Mining, Quarrying, and Oil and Gas Extraction",Mining (except Oil and Gas),"Torex Gold Resources Inc. engages in the exploration, development, and operation of mineral properties in Mexico. The company explores for gold, silver, copper, and carbon deposits.",2,0.5472652648852341,0.4502254275745262
1569187.0,GV_017626,17626,AHH,USA,ARMADA HOFFLER PROPERTIES,Real Estate,Real Estate,"Equity Real Estate 
Investment Trusts 
(REITs)",Diversified REITs,6798,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),Real Estate and Rental and Leasing,Real Estate,"Armada Hoffler Properties, Inc. (NYSE: AHH) is a vertically-integrated, self-managed real estate investment trust (""REIT"") with four decades of experience developing, building, acquiring, and managing high-quality, institutional-grade office, retail, and multifamily properties located primarily in the Mid-Atlantic and Southeastern United States.",2,0.3607203986955478,-0.19823261541137502
1579998.0,GV_028555,28555,CCA.,CAN,COGECO COMMUNICATIONS INC,Communication Services,Media & Entertainment,Media,Cable & Satellite,4841,515210,Cable and Other Subscription Programming,Information,Broadcasting (except Internet),Cogeco Communications Inc. operates as a communications corporation in North America.,2,0.23677221538697138,-0.1478190540548675
1584425.0,GV_184905,184905,TCN.,CAN,TRICON CAPITAL GROUP INC,Real Estate,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities,6513,5311,Lessors of Real Estate,Real Estate and Rental and Leasing,Real Estate,Tricon Capital Group Inc. is a principal investor and asset manager primarily focused on rental housing in North America.,2,0.13788757653839445,-0.15766374713686532
1591877.0,GV_062016,62016,SZMK,USA,SIZMEK INC,Consumer Discretionary,Media,Media,Advertising,7372,511210,Software Publishers,Information,Publishing Industries (except Internet),Sizmek Inc. operates an online ad campaign management and distribution platform that provides online advertising services.,2,-0.040003421189722464,0.12069775499377154
1593034.0,GV_063645,63645,ENDP,IRL,ENDO INTERNATIONAL PLC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Endo International plc manufactures and sells generic and branded pharmaceuticals in the United States, Canada, and internationally.",2,0.061934177751528464,0.02183865048107281
1593936.0,GV_007316,7316,MIK,USA,MICHAELS COS INC,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores,5945,451120,"Hobby, Toy, and Game Stores",Retail Trade,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","The Michaels Companies, Inc. owns and operates arts and crafts specialty retail stores for Makers and do-it-yourself home decorators in North America.",2,-0.022585927932309464,0.20471386443916273
1595949.0,GV_019788,19788,ITX.,CAN,INTERTAIN GROUP LTD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,7990,713210,Casinos (except Casino Hotels),"Arts, Entertainment, and Recreation","Amusement, Gambling, and Recreation Industries","The Intertain Group Limited, through its subsidiaries, operates as an online gaming company worldwide.",2,0.10839679732090962,-0.028514958653825126
1602367.0,GV_020672,20672,ADPTQ,USA,ADEPTUS HEALTH INC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services,8011,621493,Freestanding Ambulatory Surgical and Emergency Centers,Health Care and Social Assistance,Ambulatory Health Care Services,Adeptus Health Inc. owns and operates a network of independent freestanding emergency rooms in the United States.,2,0.3610630054585,0.15621631041340026
1609702.0,GV_021761,21761,CDK,USA,CDK GLOBAL INC,Information Technology,Software & Services,Software,Application Software,7370,519130,Internet Publishing and Broadcasting and Web Search Portals,Information,Other Information Services,"CDK Global, Inc. provides software and technology solutions for automotive retailers in the United States, Europe, Canada, and internationally.",2,-0.11856752210790153,0.04261538154658539
1610092.0,GV_021047,21047,DPLO,USA,DIPLOMAT PHARMACY INC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services,5912,446110,Pharmacies and Drug Stores,Retail Trade,Health and Personal Care Stores," Diplomat Pharmacy, Inc. operates as an independent specialty pharmacy in the United States.",2,0.22449773685697863,0.22870445262299532
1613859.0,GV_021739,21739,PRAH,USA,PRA HEALTH SCIENCES INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services,8731,54171,"Research and Development in the Physical, Engineering, and Life Sciences","Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","PRA Health Sciences, Inc., a contract research organization, provides outsourced clinical development and data solution services to the biotechnology and pharmaceutical industries worldwide.",2,0.042555331654480326,-0.25250989761367354
1616533.0,GV_031494,31494,SGH,CYM,SMART GLOBAL HOLDINGS INC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,3674,334413,Semiconductor and Related Device Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"SMART Global Holdings, Inc. designs and manufactures electronic products focused in memory and computing technology areas.",2,-0.01056265832117928,-0.02833032805958711
1618756.0,GV_164471,164471,QSR,CAN,RESTAURANT BRANDS INTL INC,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,5812,722513,Limited-Service Restaurants,Accommodation and Food Services,Food Services and Drinking Places,"Restaurant Brands International Inc. owns, operates, and franchises quick service restaurants under the Tim Hortons (TH), Burger King (BK), and Popeyes (PLK) brand names.",2,0.06400066312985134,-0.08329885427672234
1632790.0,GV_023083,23083,ENR,USA,ENERGIZER HOLDINGS INC,Consumer Staples,Household & Personal Products,Household Products,Household Products,3690,335912,Primary Battery Manufacturing,Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing","Energizer Holdings, Inc., together with its subsidiaries, manufactures, markets, and distributes household batteries, specialty batteries, and lighting products worldwide.",2,0.15709786540030593,0.2067216371250664
1637810.0,GV_024116,24116,FSV.,CAN,FIRSTSERVICE CORP,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Services,6531,531311,Residential Property Managers,Real Estate and Rental and Leasing,Real Estate,"FirstService Corporation, together with its subsidiaries, provides residential property services to residential and commercial customers in the United States and Canada.",2,0.1941413852453716,-0.3390210043381418
